PLAN_ID,PARTY_ID,ID_PILAR,PROYECTO,APROPIACION_DEFINITIVA,COMPROMISOS
4697,4717,4700,P5. Formaci贸n docente: avanzada continua y permanente,"$ 479,226,482","$ 451,906,052"
4697,4718,4700,P6. Acompa帽amiento al desarrollo del egresado,"$ 82,260,596","$ 82,260,596"
4697,4719,4700,P7. Vinculaci贸n de los egresados a los procesos institucionales,"$ 22,753,941","$ 22,753,941"
4697,4720,4700,P8. Aseguramiento de la infraestructura tecnologica para soportar los procesos de formaci贸n con TIC,"$ 113,101,893","$ 110,594,620"
4697,4721,4700,P9. Desarrollo de Ecosistemas TIC enfocados a experiencias y ambientes educativos interactivos,"$ 8,424,350","$ 7,624,500"
4697,4722,4700,P10. Formaci贸n Acad茅mica mediada por ambientes virtuales,"$ 45,914,343","$ 24,176,500"
4697,4723,4700,P11. Capacidad acad茅mica y administrativa que garantice la proyecci贸n de la Educaci贸n Superior con TIC,"$ 95,611,900","$ 75,664,984"
4697,4727,4701,P12. Fortalecimiento de la Investigaci贸n Institucional,"$ 1,381,868,206","$ 1,275,941,622"
4697,4728,4701,P13. Internacionalizaci贸n de la Investigaci贸n Innovaci贸n y Extensi贸n,$ 0,$ 0
4697,4729,4701,P14. Fomento y Fortalecimiento de la Extensi贸n Universitaria,"$ 199,546,652","$ 171,486,968"
4697,4730,4701,P15. Promoci贸n comercializaci贸n y transferencia de capacidades institucionales a trav茅s de la prestaci贸n de Servicios de Extensi贸n,"$ 119,221,384","$ 98,454,384"
4697,4731,4701,P16. Vinculaci贸n de los estudiantes en el entorno a trav茅s de las pr谩cticas universitarias,"$ 5,293,254","$ 5,293,254"
4697,4732,4701,P17. Consolidaci贸n de las capacidades institucionales para la Gesti贸n del conocimiento Innovaci贸n y Emprendimiento,"$ 209,082,000","$ 208,360,281"
4697,4733,4701,P18. Centro de innovaci贸n y desarrollo tecnol贸gico,$ 0,$ 0
4697,4734,4701,P19. Nodo de Innovaci贸n en Biodiversidad,$ 0,$ 0
4697,4735,4701,P20. Implementaci贸n del Centro de Desarrollo Tecnol贸gico con Enfoque en Agroindustria para el Departamento De Risaralda,$ 0,$ 0
4697,4740,4702,P21. Articulaci贸n interna para la participaci贸n en escenarios externos y el desarrollo profesional del egresado,"$ 36,526,440","$ 36,526,440"
4697,4741,4702,P22. Banco de proyectos para la gesti贸n institucional,"$ 86,770,186","$ 85,753,141"
4697,4742,4702,P23. UTP como territorio de paz convivencia ciudadan铆a y democracia,"$ 14,095,359","$ 99,450"
4697,4743,4702,P24. Ofertas acad茅micas gesti贸n de proyectos y alianzas para la ciudadan铆a la convivencia la democracia y la paz,"$ 19,665,574","$ 8,823,300"
4697,4744,4702,P25. Procesos de gesti贸n que aportan a la integraci贸n acad茅mica el desarrollo sostenible y la competitividad nacional,"$ 424,663,029","$ 349,684,255"
4697,4745,4702,P26. Movilizaci贸n social para la articulaci贸n de capacidades del territorio,"$ 127,130,107","$ 120,711,412"
4697,4746,4702,P27. Cooperaci贸n y movilidad nacional e internacional,"$ 73,838,366","$ 61,049,750"
4697,4747,4702,P28. Internacionalizaci贸n en casa,"$ 215,582,391","$ 45,705,000"
4697,4753,4703,P29. Sistema de Informaci贸n Institucional,"$ 813,138,373","$ 750,638,491"
4697,4754,4703,P30. Sostenibilidad de la Infraestructura Tecnol贸gica,"$ 6,262,604,981","$ 5,073,885,412"
4697,4755,4703,P31. Gesti贸n y sostenibilidad ambiental en el campus UTP,"$ 134,560,420","$ 130,434,000"
4697,4756,4703,P32. Gesti贸n integral de la infraestructura f铆sica,"$ 18,529,110,737","$ 10,734,374,461"
4697,4757,4703,P33. Gesti贸n y sostenibilidad de recursos,"$ 39,348,465","$ 1,847,734"
4697,4758,4703,P34. Eficiencia en el uso de los recursos,"$ 10,118,227",$ 0
4697,4759,4703,P35. Gesti贸n del Desarrollo Humano,"$ 425,719,537","$ 367,688,170"
4697,4760,4703,P36. Modernizaci贸n y Desarrollo Organizacional,"$ 67,520,950","$ 17,905,020"
4697,4761,4703,P37. Consolidaci贸n de los Sistemas de Gesti贸n,"$ 44,932,352","$ 6,188,000"
4697,4762,4703,P38. Transparencia gobernanza y legalidad,"$ 58,649,562","$ 45,876,515"
4697,4763,4703,P39. Gesti贸n de la Comunicaci贸n y Promoci贸n Institucional,$ 0,$ 0
4697,4768,4704,P40. Articulaci贸n de la pol铆tica de bienestar institucional,"$ 345,000,000","$ 26,265,333"
4697,4769,4704,P41. Implementaci贸n de la pol铆tica de Bienestar Institucional,$ 0,$ 0
4697,4770,4704,P42. Acompa帽amiento Integral e Inclusi贸n con enfoque diferencial para la calidad de vida y el bienestar institucional,"$ 985,430,088","$ 925,464,737"
4697,4771,4704,P43. Seguimiento al bienestar institucional calidad de vida e inclusi贸n en contextos universitarios,"$ 143,839,479","$ 143,839,479"
4697,4772,4704,P44. Cultura desarrollo humano y deporte universitario como estilo de vida UTP,"$ 333,276,081","$ 238,308,381"
4697,4773,4704,P45. Cr茅ditos de formaci贸n Vivencial,"$ 35,200,000","$ 35,200,000"
4697,4774,4704,P46. Gesti贸n para el fortalecimiento de la responsabilidad social el bienestar institucional y la calidad de vida,"$ 104,497,665","$ 82,933,551"
4697,4775,4704,P47. Protocolo log铆stica y eventos para la pertenencia los est铆mulos y el bienestar,"$ 105,469,847","$ 46,331,842"
27087,27172,27093,P1. Dise帽o y renovaci贸n curricular de los programas acad茅micos,"$ 32,578,887","$ 32,578,887"
27087,27152,27093,P2. Evaluaci贸n y aseguramiento de la calidad,"$ 59,146,761","$ 59,146,761"
27087,27173,27093,P3. Acceso e inserci贸n a la vida universitaria,"$ 42,034,966","$ 38,500,000"
27087,27153,27093,P4. Acompa帽amiento y seguimiento acad茅mico,"$ 191,139,939","$ 185,817,626"
27087,27174,27093,P5. Formaci贸n docente: avanzada continua y permanente,"$ 569,653,779","$ 564,278,309"
27087,27154,27093,P6. Acompa帽amiento al desarrollo del egresado,"$ 59,224,386","$ 59,224,386"
27087,27175,27093,P7. Vinculaci贸n de los egresados a los procesos institucionales,"$ 64,612,193","$ 64,612,193"
27087,27176,27093,P8. Aseguramiento de la infraestructura tecnologica para soportar los procesos de formaci贸n con TIC,"$ 15,788,682","$ 13,243,284"
27087,27177,27093,P9. Desarrollo de Ecosistemas TIC enfocados a experiencias y ambientes educativos interactivos,"$ 8,507,511","$ 8,507,510"
27087,27155,27093,P10. Formaci贸n Acad茅mica mediada por ambientes virtuales,"$ 29,490,366","$ 25,178,243"
27087,27178,27093,P11. Capacidad acad茅mica y administrativa que garantice la proyecci贸n de la Educaci贸n Superior con TIC,"$ 6,793,200","$ 6,531,980"
27087,27179,27107,P12. Fortalecimiento de la Investigaci贸n Institucional,"$ 1,698,536,378","$ 1,695,250,045"
27087,27156,27107,P13. Internacionalizaci贸n de la Investigaci贸n Innovaci贸n y Extensi贸n,"$ 40,841,356","$ 36,358,269"
27087,27180,27107,P14. Fomento y Fortalecimiento de la Extensi贸n Universitaria,"$ 312,470,247","$ 307,112,679"
27087,27157,27107,P15. Promoci贸n comercializaci贸n y transferencia de capacidades institucionales a trav茅s de la prestaci贸n de Servicios de Extensi贸n,"$ 38,323,398","$ 35,978,466"
27087,27158,27107,P16. Vinculaci贸n de los estudiantes en el entorno a trav茅s de las pr谩cticas universitarias,"$ 31,391,520","$ 31,391,520"
27087,27159,27107,P17. Consolidaci贸n de las capacidades institucionales para la Gesti贸n del conocimiento Innovaci贸n y Emprendimiento,"$ 254,052,127","$ 252,697,762"
27087,27182,27107,P18. Nodo de Innovaci贸n en Biodiversidad,"$ 9,013,853","$ 9,004,320"
27087,27181,27107,P19. Centro de innovaci贸n y desarrollo tecnol贸gico,$ -,$ -
27087,27183,27107,P20. Implementaci贸n del Centro de Desarrollo Tecnol贸gico con Enfoque en Agroindustria para el Departamento De Risaralda,$ -,$ -
27087,27160,27094,P21. Articulaci贸n interna para la participaci贸n en escenarios externos y el desarrollo profesional del egresado,"$ 45,342,898","$ 45,342,898"
27087,27184,27094,P22. Banco de proyectos para la gesti贸n institucional,"$ 81,680,588","$ 81,680,588"
27087,27185,27094,P23. UTP como territorio de paz convivencia ciudadan铆a y democracia,"$ 8,714,800","$ 8,362,000"
27087,27186,27094,P24. Ofertas acad茅micas gesti贸n de proyectos y alianzas para la ciudadan铆a la convivencia la democracia y la paz,"$ 45,171,887","$ 37,185,033"
27087,27161,27094,P25. Procesos de gesti贸n que aportan a la integraci贸n acad茅mica el desarrollo sostenible y la competitividad nacional,"$ 189,977,018","$ 186,580,154"
27087,27187,27094,P26. Movilizaci贸n social para la articulaci贸n de capacidades del territorio,"$ 177,672,129","$ 175,505,462"
27087,27188,27094,P27. Cooperaci贸n y movilidad nacional e internacional,"$ 102,159,472","$ 97,768,948"
27087,27189,27094,P28. Internacionalizaci贸n en casa,"$ 430,849,224","$ 427,005,295"
27087,27162,27108,P29. Sistema de Informaci贸n Institucional,"$ 1,114,342,718","$ 1,095,203,034"
27087,27163,27108,P30. Sostenibilidad de la Infraestructura Tecnol贸gica,"$ 8,049,457,110","$ 5,500,777,350"
27087,27164,27108,P31. Gesti贸n y sostenibilidad ambiental en el campus UTP,"$ 165,964,068","$ 165,915,199"
